"Pseudomonas","Competitor.Community","PhagePresence","Time_day","Pop","Density"
"lasR","Sm",1,16,"PT7",8.8e+07
"lasR","Sm",1,16,"P_aeruginosa",10300000
"lasR","Sm",1,16,"PT7",6.4e+07
"lasR","Sm",1,16,"P_aeruginosa",10600000
"lasR","Sm",1,16,"PT7",6.4e+07
"lasR","Sm",1,16,"P_aeruginosa",1.2e+07
"lasR","Sm",1,16,"PT7",6.4e+07
"lasR","Sm",1,16,"P_aeruginosa",27600000
"lasR","Sm",1,16,"PT7",6.4e+07
"lasR","Sm",1,16,"P_aeruginosa",20600000
"lasR","Sm",1,16,"PT7",6.4e+07
"lasR","Sm",1,16,"P_aeruginosa",10300000
"lasR","Sm",1,16,"PT7",2.21e+08
"lasR","Sm",1,16,"P_aeruginosa",10600000
"lasR","Sm",1,16,"PT7",2.21e+08
"lasR","Sm",1,16,"P_aeruginosa",1.2e+07
"lasR","Sm",1,16,"PT7",2.21e+08
"lasR","Sm",1,16,"P_aeruginosa",27600000
"lasR","Sm",1,16,"PT7",2.21e+08
"lasR","Sm",1,16,"P_aeruginosa",20600000
"lasR","Sm",1,16,"PT7",2.21e+08
"lasR","Sm",1,16,"P_aeruginosa",10300000
"lasR","Sm",1,16,"PT7",2.01e+08
"lasR","Sm",1,16,"P_aeruginosa",10600000
"lasR","Sm",1,16,"PT7",2.01e+08
"lasR","Sm",1,16,"P_aeruginosa",1.2e+07
"lasR","Sm",1,16,"PT7",2.01e+08
"lasR","Sm",1,16,"P_aeruginosa",27600000
"lasR","Sm",1,16,"PT7",2.01e+08
"lasR","Sm",1,16,"P_aeruginosa",20600000
"lasR","Sm",1,16,"PT7",2.01e+08
"lasR","Sm",1,16,"P_aeruginosa",10300000
"PAO1","Sa+Sm",1,16,"PT7",8e+06
"PAO1","Sa+Sm",1,16,"P_aeruginosa",348000
"PAO1","Sa+Sm",1,16,"PT7",8e+06
"PAO1","Sa+Sm",1,16,"P_aeruginosa",0
"PAO1","Sa+Sm",1,16,"PT7",8e+06
"PAO1","Sa+Sm",1,16,"P_aeruginosa",1550000
"PAO1","Sa+Sm",1,16,"PT7",8e+06
"PAO1","Sa+Sm",1,16,"P_aeruginosa",5100000
"PAO1","Sa+Sm",1,16,"PT7",8e+06
"PAO1","Sa+Sm",1,16,"P_aeruginosa",6e+05
"PAO1","Sa+Sm",1,16,"PT7",137000
"PAO1","Sa+Sm",1,16,"P_aeruginosa",348000
"PAO1","Sa+Sm",1,16,"PT7",137000
"PAO1","Sa+Sm",1,16,"P_aeruginosa",0
"PAO1","Sa+Sm",1,16,"PT7",137000
"PAO1","Sa+Sm",1,16,"P_aeruginosa",1550000
"PAO1","Sa+Sm",1,16,"PT7",137000
"PAO1","Sa+Sm",1,16,"P_aeruginosa",5100000
"PAO1","Sa+Sm",1,16,"PT7",137000
"PAO1","Sa+Sm",1,16,"P_aeruginosa",6e+05
"PAO1","Sa+Sm",1,16,"PT7",1.3e+07
"PAO1","Sa+Sm",1,16,"P_aeruginosa",348000
"PAO1","Sa+Sm",1,16,"PT7",1.3e+07
"PAO1","Sa+Sm",1,16,"P_aeruginosa",0
"PAO1","Sa+Sm",1,16,"PT7",1.3e+07
"PAO1","Sa+Sm",1,16,"P_aeruginosa",1550000
"PAO1","Sa+Sm",1,16,"PT7",1.3e+07
"PAO1","Sa+Sm",1,16,"P_aeruginosa",5100000
"PAO1","Sa+Sm",1,16,"PT7",1.3e+07
"PAO1","Sa+Sm",1,16,"P_aeruginosa",6e+05
"PAO1","Sa+Sm",1,16,"PT7",9e+06
"PAO1","Sa+Sm",1,16,"P_aeruginosa",348000
"PAO1","Sa+Sm",1,16,"PT7",9e+06
"PAO1","Sa+Sm",1,16,"P_aeruginosa",0
"PAO1","Sa+Sm",1,16,"PT7",9e+06
"PAO1","Sa+Sm",1,16,"P_aeruginosa",1550000
"PAO1","Sa+Sm",1,16,"PT7",9e+06
"PAO1","Sa+Sm",1,16,"P_aeruginosa",5100000
"PAO1","Sa+Sm",1,16,"PT7",9e+06
"PAO1","Sa+Sm",1,16,"P_aeruginosa",6e+05
"PAO1","Sa+Sm",1,16,"PT7",6.4e+07
"PAO1","Sa+Sm",1,16,"P_aeruginosa",348000
"PAO1","Sa+Sm",1,16,"PT7",6.4e+07
"PAO1","Sa+Sm",1,16,"P_aeruginosa",0
"PAO1","Sa+Sm",1,16,"PT7",6.4e+07
